,logFC,AveExpr,t,P.Value,adj.P.Val,B
KLHL3,-1.50774666440928,2.56151002316395,-6.90445683004625,2.61232644494684e-08,4.02510487052271e-06,9.03095679238494
MMP9,2.54633580185445,7.41573559004439,6.90390604612968,2.61693820595481e-08,4.02510487052271e-06,9.02926284006044
N4BP3,-1.67204158514222,2.32931448876257,-6.90374799412184,2.61826310030393e-08,4.02510487052271e-06,9.02877674293888
ABLIM1,-1.5623678934527,6.23423891425713,-6.90344690117953,2.620788923415e-08,4.02510487052271e-06,9.02785071174934
RNFT2,-0.899239135190782,0.757344258883389,-6.90117182657304,2.63995356412804e-08,4.02575201153758e-06,9.02085338861053
SLC49A3,1.34237193853204,3.85428948518555,6.90058358577936,2.64493164390101e-08,4.02575201153758e-06,9.01904411638907
JAK3,0.934797182383854,8.51532320071367,6.87945739635466,2.83011420645333e-08,4.27773193294392e-06,8.95405151655082
CLEC1B,1.3832948464286,2.46894411159785,6.87884313376001,2.83568936689759e-08,4.27773193294392e-06,8.95216139307225
SPOCK2,-1.15741162995493,8.02830958523922,-6.87285178313009,2.89065055047565e-08,4.33811958043316e-06,8.93372444864929
PLIN5,1.90395762012907,4.53855254935497,6.87170607155275,2.90128202450748e-08,4.33811958043316e-06,8.93019855024191
LINC01513,1.40526210779049,-0.467561762981842,6.86639578857734,2.95107384072256e-08,4.38194902121777e-06,8.91385526225109
LILRB3,1.40602319758451,8.68310538826488,6.86402061714807,2.97362186583792e-08,4.38194902121777e-06,8.90654472826567
SLC26A8,2.00915657957199,4.1131415318048,6.86244802611042,2.98864605661975e-08,4.38194902121777e-06,8.90170426966137
LILRA6,1.33946424768571,7.28555596712811,6.85944107603549,3.0175866376194e-08,4.38194902121777e-06,8.89244842384322
ZNF154,-2.06496034023233,1.96450459786946,-6.8557765392731,3.05323744877932e-08,4.38194902121777e-06,8.8811677033767
SEMA4A,1.34981744162806,7.4290126803026,6.85574698772478,3.05352665865408e-08,4.38194902121777e-06,8.88107673019475
